states,x,y
Abia,306, 487
Adamawa,569, 273
Akwa Ibom,317, 528
Anambra,266, 455
Bauchi,427, 213
Bayelsa, 216, 541
Benue, 367, 392
Borno, 623, 129
Cross River, 349, 492
Delta, 204, 491
Ebonyi, 331, 449
Edo, 219, 427
Ekiti, 174, 367
Enugu, 296, 435
Gombe, 509, 225
Imo, 272, 494
Jigawa, 413, 94
Kaduna, 318, 222
Kano, 351, 134
Katsina, 303, 82
Kebbi, 108, 163
Kogi,232, 349
Kwara, 139, 313
Lagos, 81, 436
Nasarawa, 331, 326
Niger, 198, 250
Ogun, 69, 411
Ondo, 163, 404
Osun, 128, 382
Oyo, 72, 340
Plateau, 417, 290
Rivers, 268, 544
Sokoto, 178, 49
Taraba, 479, 350
Yobe, 519, 103
Zamfara, 233, 117
Abuja, 281, 306
